NomFrançais|NomAnglais|Date|CAS|NoUN|Classification|PourcentageDeDivulgation|Annexe 4|Commentaire|
Gluconate de baryum trihydraté|Barium gluconate trihydrate|2014-11-14|||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Gluconate de calcium|Calcium gluconate|2014-11-14|299-28-5||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Gluconate de sodium|Sodium gluconate|2014-11-14|527-07-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Gluconate ferreux|Ferrous gluconate|2015-02-25|299-29-6||Produit non contrôlé|Non requise|||
Gluconate ferreux dihydraté|Ferrous gluconate dihydrate|2015-02-25|22830-45-1||Produit non contrôlé|Non requise|||
Glutamine (d-)|d-Glutamine|2015-09-10|5959-95-5||Produit non contrôlé|Non requise|||
Glutamine (l-)|l-Glutamine|2015-09-10|56-85-9||Produit non contrôlé|Non requise|||
Glycérine|Glycerol|2015-03-02|56-81-5||Produit non contrôlé|Non requise|||
Glycérophosphate de potassium|Potassium glycerophosphate|2014-11-14|1319-69-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Glycérophosphate de potassium 75%|Potassium glycerophosphate 75%|2014-11-14|||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Glycinate de sodium|Sodium glycinate|2014-11-14|6000-44-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Glycine|Glycine|2015-09-02|56-40-6||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Glycogène|Glycogen|2015-09-09|9005-79-2||Produit non contrôlé|Non requise|||
Glyoxal|Glyoxal|2014-11-14|107-22-2||DP.20ex.1, DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.2, DS.4c.1, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Gomme arabique|Arabic gum|2016-07-05|9000-01-5||DP.17.99, DS.4r.1|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Graphite naturel|Natural graphite|2015-12-03|7782-42-5||DP.17.99, DS.6.1A, DS.9.1|Réglementation||La classification concernant la cancérogénicité (H350) s'applique à un mélange non testé pouvant contenir au moins 0,1 % d'un cancérogène (silice cristalline) et la classification concernant la toxicité systémique pour certains organes cibles-expositions répétées (H372) s'applique à un mélange non testé pouvant contenir au moins 1% de silice cristalline. Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Graphite synthétique|Synthetic graphite|2015-12-03|||DP.17.99, DS.9.1|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules. La graphite synthétique peut contenir au moins 0.1% de silice cristalline (quartz) susceptible de provoquer le cancer (H350)|
Gras animal|Tallow|2014-11-14|61789-97-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Guaïacol|Guaiacol|2014-11-14|90-05-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Gypse|Gypsum|2016-02-23|13397-24-5||Produit non contrôlé|Non requise||Ce produit pourrait contenir plus de 0.1% d'Amiante ou de Silice cristalline. Si tel est le cas, veuillez vous référer à la classification de ces dernières.|
Hafnium|Hafnium|2015-10-06|7440-58-6||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Halothane|Halothane|2015-12-22|151-67-7||DS.8n.3|Réglementation|||
Hélium|Helium|2015-02-25|7440-59-7|UN1046|DP.5.1, DP.18.1|Réglementation|||
Hématoxyline|Hematoxylin|2014-11-14|517-28-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Heptadécane|Heptadecane|2016-07-29|629-78-7||DS.10.1|Réglementation||Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Heptamolybdate d'ammonium anhydré|Ammonium heptamolybdate|2018-07-26|12027-67-7||DS.6.2, DS.7.2|Réglementation||En raison du manque de données, la classification concernant la toxicité pour la reproduction (H361) a été établie par analogie au Molybdate de sodium. En raison du manque de données, la classification concernant la cancérogénicité (H351) a été établie par analogie aux composés solubles de Molybdène.|
Heptamolybdate d'ammonium tétrahydraté|Ammonium heptamolybdate tetrahydrate|2018-07-26|12054-85-2||DS.6.2, DS.7.2|Réglementation||En raison du manque de données, la classification concernant la toxicité pour la reproduction (H361) a été établie par analogie au Molybdate de sodium. En raison du manque de données, la classification concernant la cancérogénicité (H351) a été établie par analogie aux composés solubles de Molybdène.|
Heptane normal|Normal heptane|2015-03-18|142-82-5|UN1206|DP.6.2, DS.2.2, DS.8n.3, DS.10.1|Réglementation|||
Heptanedione-3,5|Dipropionylmethane|2014-11-14|7424-54-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
2-Heptanol|2-Heptanol|2014-11-14|543-49-7||DP.6.4, DS.1c.99, DS.1i.99, DS.1o.99, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Heptylamine normal|n-Heptylamine|2016-07-07|111-68-2||DP.6.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation||En raison du manque de données, les classifications concernant la corrosion cutanée (H314), les lésions oculaires graves (H318) et les lésions graves des voies respiratoires ont été établies par analogie au décylamine normal et au pentylamine.|
Hexacarbonyle de tungstène|Tungstene hexacarbonyl|2014-11-14|14040-11-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Hexachlorobenzène|Hexachlorobenzene|2016-01-29|118-74-1|UN2729|DS.6.2, DS.7.2, DS.7a.1, DS.9.1|Réglementation|||
Hexachlorobutadiène-1,3|Perchlorobutadiene|2015-12-22|87-68-3|UN2279|DP.6.4, DS.1c.4, DS.1i.2, DS.1o.3, DS.2.2, DS.4c.1B, DS.8.1|Réglementation||La méthode et le type de coupelle utilisés pour déterminer le point d'éclair ne sont pas disponibles dans la littérature scientifique consultée. Cependant, la valeur rapportée a été jugée suffisamment fiable pour classer le produit dans une catégorie de danger. La classification de la toxicité aigue par inhalation (H330) dans la catégorie 2 a été établie à partir de la plus faible dose testée (1,42mg/L/4h). À cette dose, tous les animaux sont décédés. Ce produit pourrait donc être classifié dans une catégorie de danger plus sévère que celle mentionnée ci-haut.|
Hexachlorocyclopentadiène|Hexachlorocyclopentadiene|2016-01-21|77-47-4|UN2646|DS.1c.3, DS.1i.1, DS.1o.4, DS.2.2, DS.3.2, DS.4c.1, DS.8i.3|Réglementation|||
Hexachloroéthane|Hexachloroethane|2016-01-29|67-72-1||DS.3.2B, DS.6.2|Réglementation|||
Hexachloronaphtalène|Hexachloronaphthalene|2016-02-23|1335-87-1||Produit non contrôlé|Non requise|||
Hexachlorure de tungstène|Tungsten hexachloride|2015-10-27|13283-01-7||DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Hexadécane normal|Hexadecane|2016-07-11|544-76-3||DS.10.1|Réglementation|||
Hexafluoroacétone|Hexafluoro-2-propanone|2015-12-23|684-16-2|UN2420|DP.5.2, DS.1i.2, DS.2.1, DS.3.1, DS.7.2, DS.8n.3, DS.8i.3|Réglementation||Il n’y a aucune donnée disponible pour l'hexafluoroacétone concernant son pouvoir d’irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: Hexafluoroacétone sesquihydraté.|
Hexafluoroacétone dihydraté|Hexafluoroacetone dihydrate|2014-11-14|32836-39-8|UN2552|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.7.1, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Hexafluoroacétone monohydraté|Hexafluoro-2-propanone monohydrate|2014-11-14|10543-95-0|UN2552|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.7.1, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Hexafluoroacétone sesquihydraté|Hexafluoro-2-propanone sesquihydrate|2014-11-14|13098-39-0|UN2552|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.7.1, DS.7a.99, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Hexafluoroacétone trihydraté|Hexafluoro-2-propanone trihydrate|2014-11-14|34202-69-2|UN2552|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.7.1, DS.7a.99, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Hexafluoroarseniate de lithium|Lithium hexafluoroarsenate|2015-11-18|29935-35-1||DS.6.1A, DS.9.1|Réglementation||En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H372) a été établie par analogie aux composés inorganiques solubles de l'arsenic.|
Hexafluoroéthane|Hexafluoroethane|2014-11-14|76-16-4|UN2193|DP.5.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
